iter	Passed	Remaining
0	77	38512
1	96	24055
2	119	19718
3	138	17175
4	156	15537
5	174	14336
6	193	13606
7	210	12962
8	228	12445
9	246	12069
10	264	11740
11	282	11497
12	303	11365
13	319	11108
14	338	10943
15	355	10742
16	371	10561
17	398	10659
18	415	10527
19	433	10408
20	456	10404
21	486	10560
22	510	10579
23	535	10614
24	554	10533
25	576	10518
26	595	10427
27	613	10336
28	630	10238
29	651	10203
30	668	10113
31	686	10035
32	703	9960
33	723	9916
34	740	9840
35	758	9775
36	776	9718
37	793	9649
38	810	9581
39	830	9547
40	848	9496
41	869	9480
42	890	9467
43	910	9434
44	927	9375
45	945	9328
46	961	9266
47	979	9219
48	995	9163
49	1011	9106
50	1029	9066
51	1049	9039
52	1064	8978
53	1079	8919
54	1096	8872
55	1111	8812
56	1128	8771
57	1146	8733
58	1163	8698
59	1183	8679
60	1203	8660
61	1222	8639
62	1240	8604
63	1257	8564
64	1274	8527
65	1290	8484
66	1312	8479
67	1334	8479
68	1354	8458
69	1371	8424
70	1388	8388
71	1405	8353
72	1421	8313
73	1437	8276
74	1455	8245
75	1470	8203
76	1486	8167
77	1501	8121
78	1515	8078
79	1531	8040
80	1546	7997
81	1561	7960
82	1576	7922
83	1590	7875
84	1605	7840
85	1620	7799
86	1634	7759
87	1649	7724
88	1667	7700
89	1684	7671
90	1701	7649
91	1721	7634
92	1738	7608
93	1755	7581
94	1772	7558
95	1789	7528
96	1805	7503
97	1822	7477
98	1841	7457
99	1859	7439
100	1878	7422
101	1896	7399
102	1912	7372
103	1929	7347
104	1947	7325
105	1964	7302
106	1979	7271
107	1995	7241
108	2010	7210
109	2025	7180
110	2040	7149
111	2054	7115
112	2068	7083
113	2083	7054
114	2106	7050
115	2120	7019
116	2135	6991
117	2150	6962
118	2165	6933
119	2180	6906
120	2196	6878
121	2210	6848
122	2224	6819
123	2238	6788
124	2253	6759
125	2267	6729
126	2282	6704
127	2298	6679
128	2312	6651
129	2328	6627
130	2344	6604
131	2361	6584
132	2379	6566
133	2396	6544
134	2412	6523
135	2429	6501
136	2444	6475
137	2460	6454
138	2478	6438
139	2500	6428
140	2517	6410
141	2535	6392
142	2552	6372
143	2566	6345
144	2583	6326
145	2599	6302
146	2616	6282
147	2631	6258
148	2647	6236
149	2662	6212
150	2679	6192
151	2699	6181
152	2721	6171
153	2740	6156
154	2757	6136
155	2772	6113
156	2788	6091
157	2803	6067
158	2818	6045
159	2834	6023
160	2848	5997
161	2863	5974
162	2879	5953
163	2895	5932
164	2910	5909
165	2926	5887
166	2942	5866
167	2957	5845
168	2972	5821
169	2988	5800
170	3001	5775
171	3018	5755
172	3035	5738
173	3052	5718
174	3069	5700
175	3084	5678
176	3098	5654
177	3115	5635
178	3129	5611
179	3146	5594
180	3162	5573
181	3180	5557
182	3197	5538
183	3212	5517
184	3230	5500
185	3250	5487
186	3266	5467
187	3282	5447
188	3297	5426
189	3315	5409
190	3331	5390
191	3347	5370
192	3363	5349
193	3376	5326
194	3391	5304
195	3407	5284
196	3422	5264
197	3440	5247
198	3456	5228
199	3473	5210
200	3490	5192
201	3505	5171
202	3526	5158
203	3543	5141
204	3558	5120
205	3573	5100
206	3588	5079
207	3604	5059
208	3622	5043
209	3637	5023
210	3658	5010
211	3674	4991
212	3691	4974
213	3710	4959
214	3727	4941
215	3744	4923
216	3760	4904
217	3777	4886
218	3795	4869
219	3813	4853
220	3829	4834
221	3844	4814
222	3860	4795
223	3876	4776
224	3890	4755
225	3907	4737
226	3924	4719
227	3940	4701
228	3959	4685
229	3976	4668
230	3993	4649
231	4010	4632
232	4028	4616
233	4043	4596
234	4059	4577
235	4076	4559
236	4096	4545
237	4114	4529
238	4131	4511
239	4147	4492
240	4162	4472
241	4178	4454
242	4192	4434
243	4209	4416
244	4226	4399
245	4244	4383
246	4261	4364
247	4279	4348
248	4296	4331
249	4312	4312
250	4330	4296
251	4346	4277
252	4364	4260
253	4381	4243
254	4397	4224
255	4412	4206
256	4426	4184
257	4440	4165
258	4454	4144
259	4471	4127
260	4485	4107
261	4500	4088
262	4516	4069
263	4535	4054
264	4554	4038
265	4568	4018
266	4587	4003
267	4603	3985
268	4619	3967
269	4635	3948
270	4652	3931
271	4666	3911
272	4680	3892
273	4694	3872
274	4708	3852
275	4726	3835
276	4743	3818
277	4758	3799
278	4777	3784
279	4793	3765
280	4809	3748
281	4825	3730
282	4841	3712
283	4859	3695
284	4875	3677
285	4890	3659
286	4904	3640
287	4920	3622
288	4933	3601
289	4945	3581
290	4962	3564
291	4977	3545
292	4991	3526
293	5004	3506
294	5021	3489
295	5034	3469
296	5048	3450
297	5065	3433
298	5081	3415
299	5095	3396
300	5110	3378
301	5125	3360
302	5140	3342
303	5152	3321
304	5166	3303
305	5182	3285
306	5197	3267
307	5211	3248
308	5228	3231
309	5244	3214
310	5257	3195
311	5273	3177
312	5287	3159
313	5303	3141
314	5317	3123
315	5332	3105
316	5351	3089
317	5369	3073
318	5382	3053
319	5399	3037
320	5416	3020
321	5431	3002
322	5447	2985
323	5461	2966
324	5477	2949
325	5489	2930
326	5504	2912
327	5519	2894
328	5534	2876
329	5549	2858
330	5566	2842
331	5582	2824
332	5595	2806
333	5612	2789
334	5630	2773
335	5650	2757
336	5671	2742
337	5692	2728
338	5709	2711
339	5725	2694
340	5741	2677
341	5757	2660
342	5774	2643
343	5789	2625
344	5807	2609
345	5826	2593
346	5839	2574
347	5854	2557
348	5871	2540
349	5889	2524
350	5910	2508
351	5933	2494
352	5950	2478
353	5966	2460
354	5981	2442
355	5995	2425
356	6010	2407
357	6026	2390
358	6044	2373
359	6061	2357
360	6074	2339
361	6091	2322
362	6107	2305
363	6123	2287
364	6135	2269
365	6150	2251
366	6163	2233
367	6176	2215
368	6190	2197
369	6207	2181
370	6222	2163
371	6236	2145
372	6251	2128
373	6266	2111
374	6280	2093
375	6295	2076
376	6308	2058
377	6324	2041
378	6338	2023
379	6352	2005
380	6366	1988
381	6381	1971
382	6394	1953
383	6409	1936
384	6426	1919
385	6442	1902
386	6457	1885
387	6473	1868
388	6488	1851
389	6502	1834
390	6519	1817
391	6534	1800
392	6548	1782
393	6562	1765
394	6581	1749
395	6597	1732
396	6615	1716
397	6632	1699
398	6653	1684
399	6672	1668
400	6691	1651
401	6706	1634
402	6718	1616
403	6732	1599
404	6747	1582
405	6764	1566
406	6777	1548
407	6792	1531
408	6808	1514
409	6824	1497
410	6837	1480
411	6854	1463
412	6868	1446
413	6884	1430
414	6899	1413
415	6915	1396
416	6932	1379
417	6947	1362
418	6964	1346
419	6979	1329
420	6995	1312
421	7011	1295
422	7025	1278
423	7042	1262
424	7059	1245
425	7076	1229
426	7093	1212
427	7110	1196
